X,Y,class,BRUVid
114.77887207000001,-34.078688965,MBH,1
114.78637207000001,-34.086188965,MBH,2
114.78387207000002,-34.076188965,MBH,3
114.78137207,-34.091188965,MBH,4
114.77637207000001,-34.088688965,MBH,5
114.49387207000001,-34.148688965,MBH,6
114.48887207000001,-34.138688965,MBH,7
114.48637207,-34.14618896499999,MBH,8
114.48387207,-34.138688965,MBH,9
114.77387207000001,-34.143688965,MBH,10
114.75887207000001,-34.138688965,MBH,377
114.76637207000002,-34.133688965,MBH,62
114.76387207000001,-34.146188965,MBH,61
114.76887207000001,-34.146188965,MBH,60
114.76637207000002,-34.141188965,MBH,59
114.77387207000001,-34.136188965,MBH,58
114.70637207000001,-34.061188965,MBH,49
114.70387207000002,-34.068688965,MBH,48
114.71137207000001,-34.063688965,MBH,47
114.71137207000001,-34.068688965,MBH,46
114.69637207000001,-34.063688965,MBH,45
114.49137207000001,-34.126188965,MBH,44
114.48137207000001,-34.121188965,MBH,43
114.47887207000001,-34.131188965,MBH,42
114.48637207000002,-34.126188965,MBH,57
114.48887207000001,-34.118688965,MBH,56
114.59887207000001,-34.093688965,MBH,55
114.59387207,-34.088688965,MBH,54
114.60137207000001,-34.083688965,MBH,53
114.59137207000001,-34.093688965,MBH,52
114.59887207000001,-34.088688965,MBH,51
114.59637207,-34.083688965,MBH,50
114.60387207000001,-34.091188965,MBH,33
114.58887207000001,-34.086188965,MBH,32
114.90887207000002,-34.131188965,MBH,31
114.90637207,-34.126188965,MBH,30
114.89887207000001,-34.133688965,MBH,29
114.50137207,-34.091188965,MBH,28
114.50887207000001,-34.098688965,MBH,28
114.50637207000001,-34.088688965,MBH,27
114.50637207000001,-34.093688965,MBH,41
114.71387207000001,-34.103688965,MBH,40
114.72137207,-34.098688965,MBH,39
114.71137207,-34.096188965,MBH,38
114.71887207,-34.108688965,MBH,37
114.71887207,-34.103688965,MBH,36
114.86387207,-34.066188965,MBH,35
114.87137207000001,-34.061188965,MBH,34
114.86887207000001,-34.068688965,MBH,18
114.87637207,-34.063688965,MBH,17
114.86887207000001,-34.073688965,MBH,16
114.86637207,-34.061188965,MBH,15
114.87387207,-34.071188965,MBH,14
114.47887207,-34.101188965,MBH,13
114.47387207,-34.103688965,MBH,12
114.48637207,-34.101188965,MBH,11
114.48387207,-34.111188965,MBH,26
114.47887207,-34.111188965,MBH,25
114.52137207000001,-34.141188965,MBH,24
114.51887207,-34.136188965,MBH,23
114.52137207000001,-34.128688965,MBH,22
114.52887207000001,-34.138688965,MBH,21
114.51637207,-34.131188965,MBH,20
114.52887207000001,-34.128688965,MBH,19
114.51387207000001,-34.136188965,MBH,118
114.73887207,-34.063688965,MBH,117
114.74637207000001,-34.058688965,MBH,116
114.73637207,-34.053688965,MBH,115
114.74387207000001,-34.063688965,MBH,114
114.73887207,-34.058688965,MBH,113
114.74637207000001,-34.053688965,MBH,112
114.74137207000001,-34.051188965,MBH,111
114.81887207,-34.113688965,MBH,126
114.82637207000001,-34.108688965,MBH,125
114.81887207,-34.118688965,MBH,124
114.81887207,-34.106188965,MBH,123
114.82637207000001,-34.116188965,MBH,122
114.89887207,-34.068688965,MBH,121
114.90637207,-34.081188965,MBH,120
114.90387207000001,-34.076188965,MBH,119
114.91137207,-34.071188965,MBH,102
114.89637207,-34.078688965,MBH,101
114.90887207,-34.076188965,MBH,100
114.90637207,-34.066188965,MBH,99
114.73137207,-34.133688965,MBH,98
114.72887207,-34.128688965,MBH,97
114.73637207,-34.136188965,MBH,96
114.73387207,-34.126188965,MBH,95
114.72887207,-34.141188965,MBH,110
114.67387207000002,-34.056188965,MBH,109
114.66887207000001,-34.051188965,MBH,108
114.67637207000001,-34.063688965,MBH,107
114.66387207000001,-34.058688965,MBH,106
114.66887207000001,-34.063688965,MBH,105
114.50887207,-34.111188965,MBH,104
114.51637207,-34.106188965,MBH,103
114.51387207,-34.113688965,MBH,86
114.52137207,-34.108688965,MBH,85
114.51137207,-34.106188965,MBH,84
114.51887207,-34.113688965,MBH,83
114.88387207,-34.103688965,MBH,82
114.89137207,-34.098688965,MBH,81
114.88887207,-34.093688965,MBH,80
114.89637207,-34.101188965,MBH,79
114.88137207,-34.096188965,MBH,94
114.89137207,-34.103688965,MBH,93
114.88637207,-34.098688965,MBH,92
114.89387207,-34.093688965,MBH,91
114.92387207000002,-34.123688965,MBH,90
114.92887207000001,-34.131188965,MBH,89
114.48887207000001,-34.011188965,MBH,88
